code,onset,offset,code.value
transcribe,00:08:35.552,00:08:36.052,"m,oh"
transcribe,00:08:35.926,00:08:36.426,"m,good job"
transcribe,00:08:40.359,00:08:40.859,"m,wow"
transcribe,00:08:42.217,00:08:42.717,"b,b"
transcribe,00:08:42.962,00:08:43.462,"b,yep"
transcribe,00:08:43.568,00:08:44.068,"m,yeah"
transcribe,00:08:45.572,00:08:46.072,"m,hehehe"
transcribe,00:08:51.080,00:08:51.580,"b,c"
transcribe,00:08:52.137,00:08:52.637,"b,b"
transcribe,00:08:55.408,00:08:55.908,"m,whoah"
transcribe,00:09:00.305,00:09:00.805,"b,b"
transcribe,00:09:01.422,00:09:01.922,"b,b"
transcribe,00:09:03.095,00:09:03.595,"b,b"
transcribe,00:09:04.398,00:09:04.898,"b,c"
transcribe,00:09:04.678,00:09:05.178,"m,you wanna use a different color?"
transcribe,00:09:06.644,00:09:07.144,"b,no"
transcribe,00:09:07.266,00:09:07.766,"m,no?"
transcribe,00:09:08.443,00:09:08.943,"m,no"
transcribe,00:09:08.551,00:09:09.051,"m,ok"
transcribe,00:09:09.139,00:09:09.639,"m,yeah?"
transcribe,00:09:22.547,00:09:23.047,"m,are you drawing on top of mine?"
transcribe,00:09:24.517,00:09:25.017,"b,c"
transcribe,00:09:28.949,00:09:29.449,"b,b"
transcribe,00:09:31.009,00:09:31.509,"b,b"
transcribe,00:09:32.141,00:09:32.641,"b,c"
transcribe,00:09:33.413,00:09:33.913,"b,b"
transcribe,00:09:34.328,00:09:34.828,"m,oh yeah?"
transcribe,00:09:34.591,00:09:35.091,"b,yeah"
transcribe,00:09:35.102,00:09:35.602,"m,yeah?"
transcribe,00:09:35.660,00:09:36.160,"b,b"
transcribe,00:09:36.932,00:09:37.432,"b,b"
transcribe,00:09:38.110,00:09:38.610,"m,what?"
transcribe,00:09:40.078,00:09:40.578,"b,b"
transcribe,00:09:40.745,00:09:41.245,"m,hm?"
transcribe,00:09:45.007,00:09:45.507,"m,you feel better now?"
transcribe,00:09:45.752,00:09:46.252,"m,hahaha"
transcribe,00:09:47.875,00:09:48.375,"m,haha"
transcribe,00:09:50.170,00:09:50.670,"m,hehe"
transcribe,00:09:50.834,00:09:51.334,"b,b"
transcribe,00:09:55.843,00:09:56.343,"b,c"
transcribe,00:09:56.942,00:09:57.442,"b,c"
transcribe,00:09:58.833,00:09:59.333,"m,we draw eyes"
transcribe,00:10:01.622,00:10:02.122,"m,draw eyes"
transcribe,00:10:03.082,00:10:03.582,"m,draw a mouth"
transcribe,00:10:07.871,00:10:08.371,"b,c"
transcribe,00:10:08.365,00:10:08.865,"b,yup"
transcribe,00:10:09.514,00:10:10.014,"m,yep"
transcribe,00:10:12.382,00:10:12.882,"b,b"
transcribe,00:10:12.736,00:10:13.236,"b,c"
transcribe,00:10:13.002,00:10:13.502,"m,what?"
transcribe,00:10:13.590,00:10:14.090,"b,c"
transcribe,00:10:13.760,00:10:14.260,"m,what?"
transcribe,00:10:15.117,00:10:15.617,"b,b"
